player_name,player_id,team_name
Ronald Holland II,1641842,Detroit Pistons
Cade Cunningham,1630595,Detroit Pistons
Malik Beasley,1627736,Detroit Pistons
Paul Reed,1630194,Detroit Pistons
Tim Hardaway Jr.,203501,Detroit Pistons
Ausar Thompson,1641709,Detroit Pistons
Tobias Harris,202699,Detroit Pistons
Ron Harper Jr.,1631199,Detroit Pistons
Wendell Moore Jr.,1631111,Detroit Pistons
Simone Fontecchio,1631323,Detroit Pistons
Jaden Ivey,1631093,Detroit Pistons
Daniss Jenkins,1642450,Detroit Pistons
Marcus Sasser,1631204,Detroit Pistons
Isaiah Stewart,1630191,Detroit Pistons
Bobi Klintman,1641752,Detroit Pistons
Tolu Smith,1642449,Detroit Pistons
Gary Payton II,1627780,Golden State Warriors
Jonathan Kuminga,1630228,Golden State Warriors
Kyle Anderson,203937,Golden State Warriors
Brandin Podziemski,1641764,Golden State Warriors
Moses Moody,1630541,Golden State Warriors
Kevon Looney,1626172,Golden State Warriors
Buddy Hield,1627741,Golden State Warriors
Gui Santos,1630611,Golden State Warriors
Quinten Post,1642366,Golden State Warriors
Andrew Wiggins,203952,Golden State Warriors
Draymond Green,203110,Golden State Warriors
Stephen Curry,201939,Golden State Warriors
Trayce Jackson-Davis,1631218,Golden State Warriors
Lindy Waters III,1630322,Golden State Warriors
Pat Spencer,1630311,Golden State Warriors
Dennis Schröder,203471,Golden State Warriors
Aaron Holiday,1628988,Houston Rockets
Amen Thompson,1641708,Houston Rockets
Jock Landale,1629111,Houston Rockets
N'Faly Dante,1642368,Houston Rockets
Jalen Green,1630224,Houston Rockets
Fred VanVleet,1627832,Houston Rockets
Cam Whitmore,1641715,Houston Rockets
Jae'Sean Tate,1630256,Houston Rockets
Dillon Brooks,1628415,Houston Rockets
Jabari Smith Jr.,1631095,Houston Rockets
Steven Adams,203500,Houston Rockets
Reed Sheppard,1642263,Houston Rockets
Tari Eason,1631106,Houston Rockets
Nate Williams,1631466,Houston Rockets
Alperen Sengun,1630578,Houston Rockets
Jeff Green,201145,Houston Rockets
Jack McVeigh,1629098,Houston Rockets
Tyrese Haliburton,1630169,Indiana Pacers
Bennedict Mathurin,1631097,Indiana Pacers
Obi Toppin,1630167,Indiana Pacers
Andrew Nembhard,1629614,Indiana Pacers
Thomas Bryant,1628418,Indiana Pacers
Jarace Walker,1641716,Indiana Pacers
Enrique Freeman,1642402,Indiana Pacers
T.J. McConnell,204456,Indiana Pacers
RayJ Dennis,1642484,Indiana Pacers
Johnny Furphy,1642277,Indiana Pacers
James Wiseman,1630164,Indiana Pacers
James Johnson,201949,Indiana Pacers
Isaiah Jackson,1630543,Indiana Pacers
Aaron Nesmith,1630174,Indiana Pacers
Ben Sheppard,1641767,Indiana Pacers
Quenton Jackson,1631245,Indiana Pacers
Myles Turner,1626167,Indiana Pacers
Pascal Siakam,1627783,Indiana Pacers
James Harden,201935,Los Angeles Clippers
Kawhi Leonard,202695,Los Angeles Clippers
Mo Bamba,1628964,Los Angeles Clippers
Bones Hyland,1630538,Los Angeles Clippers
Amir Coffey,1629599,Los Angeles Clippers
Kris Dunn,1627739,Los Angeles Clippers
Trentyn Flowers,1642280,Los Angeles Clippers
Jordan Miller,1641757,Los Angeles Clippers
Cam Christie,1642353,Los Angeles Clippers
Terance Mann,1629611,Los Angeles Clippers
P.J. Tucker,200782,Los Angeles Clippers
Kobe Brown,1641738,Los Angeles Clippers
Kai Jones,1630539,Los Angeles Clippers
Norman Powell,1626181,Los Angeles Clippers
Nicolas Batum,201587,Los Angeles Clippers
Ivica Zubac,1627826,Los Angeles Clippers
Derrick Jones Jr.,1627884,Los Angeles Clippers
Kevin Porter Jr.,1629645,Los Angeles Clippers
Jalen Hood-Schifino,1641720,Los Angeles Lakers
Jarred Vanderbilt,1629020,Los Angeles Lakers
Anthony Davis,203076,Los Angeles Lakers
Dalton Knecht,1642261,Los Angeles Lakers
Cam Reddish,1629629,Los Angeles Lakers
Gabe Vincent,1629216,Los Angeles Lakers
Bronny James,1642355,Los Angeles Lakers
Christian Koloko,1631132,Los Angeles Lakers
Jaxson Hayes,1629637,Los Angeles Lakers
Max Christie,1631108,Los Angeles Lakers
Austin Reaves,1630559,Los Angeles Lakers
Dorian Finney-Smith,1627827,Los Angeles Lakers
Shake Milton,1629003,Los Angeles Lakers
LeBron James,2544,Los Angeles Lakers
Rui Hachimura,1629060,Los Angeles Lakers
Christian Wood,1626174,Los Angeles Lakers
Quincy Olivari,1642439,Los Angeles Lakers
Armel Traoré,1642422,Los Angeles Lakers
Zyon Pullin,1642389,Memphis Grizzlies
Jaylen Wells,1642377,Memphis Grizzlies
Scotty Pippen Jr.,1630590,Memphis Grizzlies
Jake LaRavia,1631222,Memphis Grizzlies
Vince Williams Jr.,1631246,Memphis Grizzlies
Santi Aldama,1630583,Memphis Grizzlies
Luke Kennard,1628379,Memphis Grizzlies
Ja Morant,1629630,Memphis Grizzlies
Jaren Jackson Jr.,1628991,Memphis Grizzlies
Zach Edey,1641744,Memphis Grizzlies
Brandon Clarke,1629634,Memphis Grizzlies
Yuki Kawamura,1642530,Memphis Grizzlies
Desmond Bane,1630217,Memphis Grizzlies
Cam Spencer,1642285,Memphis Grizzlies
Jay Huff,1630643,Memphis Grizzlies
Marcus Smart,203935,Memphis Grizzlies
GG Jackson,1641713,Memphis Grizzlies
John Konchar,1629723,Memphis Grizzlies
Isaiah Stevens,1641815,Miami Heat
Josh Richardson,1626196,Miami Heat
Terry Rozier,1626179,Miami Heat
Nikola Jović,1631107,Miami Heat
Kel'el Ware,1642276,Miami Heat
Josh Christopher,1630528,Miami Heat
Pelle Larsson,1641796,Miami Heat
Jaime Jaquez Jr.,1631170,Miami Heat
Dru Smith,1630696,Miami Heat
Bam Adebayo,1628389,Miami Heat
Tyler Herro,1629639,Miami Heat
Keshad Johnson,1642352,Miami Heat
Alec Burks,202692,Miami Heat
Jimmy Butler,202710,Miami Heat
Haywood Highsmith,1629312,Miami Heat
Kevin Love,201567,Miami Heat
Duncan Robinson,1629130,Miami Heat
Damian Lillard,203081,Milwaukee Bucks
MarJon Beauchamp,1630699,Milwaukee Bucks
Gary Trent Jr.,1629018,Milwaukee Bucks
Chris Livingston,1641753,Milwaukee Bucks
Bobby Portis,1626171,Milwaukee Bucks
Brook Lopez,201572,Milwaukee Bucks
Taurean Prince,1627752,Milwaukee Bucks
Ryan Rollins,1631157,Milwaukee Bucks
Liam Robbins,1641857,Milwaukee Bucks
Stanley Umude,1630649,Milwaukee Bucks
AJ Green,1631260,Milwaukee Bucks
Tyler Smith,1641890,Milwaukee Bucks
Khris Middleton,203114,Milwaukee Bucks
Pat Connaughton,1626192,Milwaukee Bucks
Giannis Antetokounmpo,203507,Milwaukee Bucks
Andre Jackson Jr.,1641748,Milwaukee Bucks
Delon Wright,1626153,Milwaukee Bucks
AJ Johnson,1642358,Milwaukee Bucks
Terrence Shannon Jr.,1630545,Minnesota Timberwolves
Donte DiVincenzo,1628978,Minnesota Timberwolves
Jaden McDaniels,1630183,Minnesota Timberwolves
Rob Dillingham,1642265,Minnesota Timberwolves
Anthony Edwards,1630162,Minnesota Timberwolves
Joe Ingles,204060,Minnesota Timberwolves
Josh Minott,1631169,Minnesota Timberwolves
Nickeil Alexander-Walker,1629638,Minnesota Timberwolves
Mike Conley,201144,Minnesota Timberwolves
Naz Reid,1629675,Minnesota Timberwolves
Tristen Newton,1641803,Minnesota Timberwolves
Jesse Edwards,1642399,Minnesota Timberwolves
Jaylen Clark,1641740,Minnesota Timberwolves
Rudy Gobert,203497,Minnesota Timberwolves
Julius Randle,203944,Minnesota Timberwolves
Leonard Miller,1631159,Minnesota Timberwolves
Luka Garza,1630568,Minnesota Timberwolves
Keion Brooks Jr.,1631232,New Orleans Pelicans
Zion Williamson,1629627,New Orleans Pelicans
Herbert Jones,1630529,New Orleans Pelicans
CJ McCollum,203468,New Orleans Pelicans
Javonte Green,1629750,New Orleans Pelicans
Dejounte Murray,1627749,New Orleans Pelicans
Jamal Cain,1631288,New Orleans Pelicans
Daniel Theis,1628464,New Orleans Pelicans
Brandon Boston,1630527,New Orleans Pelicans
Antonio Reeves,1641810,New Orleans Pelicans
Brandon Ingram,1627742,New Orleans Pelicans
Jose Alvarado,1630631,New Orleans Pelicans
Karlo Matković,1631255,New Orleans Pelicans
Yves Missi,1642274,New Orleans Pelicans
Jordan Hawkins,1641722,New Orleans Pelicans
Trey Murphy III,1630530,New Orleans Pelicans
Jeremiah Robinson-Earl,1630526,New Orleans Pelicans
Jacob Toppin,1631210,New York Knicks
Cameron Payne,1626166,New York Knicks
Miles McBride,1630540,New York Knicks
Josh Hart,1628404,New York Knicks
Pacome Dadiet,1642359,New York Knicks
Precious Achiuwa,1630173,New York Knicks
OG Anunoby,1628384,New York Knicks
Kevin McCullar Jr.,1641755,New York Knicks
Jalen Brunson,1628973,New York Knicks
Tyler Kolek,1642278,New York Knicks
Jericho Sims,1630579,New York Knicks
Mitchell Robinson,1629011,New York Knicks
Mikal Bridges,1628969,New York Knicks
Karl-Anthony Towns,1626157,New York Knicks
Matt Ryan,1630346,New York Knicks
Landry Shamet,1629013,New York Knicks
Ariel Hukporti,1630574,New York Knicks
Shai Gilgeous-Alexander,1628983,Oklahoma City Thunder
Dillon Jones,1641794,Oklahoma City Thunder
Luguentz Dort,1629652,Oklahoma City Thunder
Jaylin Williams,1631119,Oklahoma City Thunder
Chet Holmgren,1631096,Oklahoma City Thunder
Jalen Williams,1631114,Oklahoma City Thunder
Alex Caruso,1627936,Oklahoma City Thunder
Isaiah Joe,1630198,Oklahoma City Thunder
Ousmane Dieng,1631172,Oklahoma City Thunder
Adam Flagler,1641745,Oklahoma City Thunder
Branden Carlson,1642382,Oklahoma City Thunder
Aaron Wiggins,1630598,Oklahoma City Thunder
Cason Wallace,1641717,Oklahoma City Thunder
Ajay Mitchell,1642349,Oklahoma City Thunder
Kenrich Williams,1629026,Oklahoma City Thunder
Nikola Topić,1642260,Oklahoma City Thunder
Isaiah Hartenstein,1628392,Oklahoma City Thunder
Alex Ducas,1642505,Oklahoma City Thunder
Anthony Black,1641710,Orlando Magic
Jonathan Isaac,1628371,Orlando Magic
Caleb Houstan,1631216,Orlando Magic
Kentavious Caldwell-Pope,203484,Orlando Magic
Jalen Suggs,1630591,Orlando Magic
Paolo Banchero,1631094,Orlando Magic
Mac McClung,1630644,Orlando Magic
Cory Joseph,202709,Orlando Magic
Trevelin Queen,1630243,Orlando Magic
Jett Howard,1641724,Orlando Magic
Gary Harris,203914,Orlando Magic
Moritz Wagner,1629021,Orlando Magic
Franz Wagner,1630532,Orlando Magic
Tristan da Silva,1641783,Orlando Magic
Wendell Carter Jr.,1628976,Orlando Magic
Goga Bitadze,1629048,Orlando Magic
Cole Anthony,1630175,Orlando Magic
Tyrese Maxey,1630178,Philadelphia 76ers
Reggie Jackson,202704,Philadelphia 76ers
KJ Martin,1630231,Philadelphia 76ers
Andre Drummond,203083,Philadelphia 76ers
Kyle Lowry,200768,Philadelphia 76ers
Paul George,202331,Philadelphia 76ers
Kelly Oubre Jr.,1626162,Philadelphia 76ers
Jeff Dowtin Jr.,1630288,Philadelphia 76ers
Ricky Council IV,1641741,Philadelphia 76ers
Caleb Martin,1628997,Philadelphia 76ers
Justin Edwards,1642348,Philadelphia 76ers
Jared McCain,1642272,Philadelphia 76ers
Joel Embiid,203954,Philadelphia 76ers
Pete Nance,1631250,Philadelphia 76ers
Eric Gordon,201569,Philadelphia 76ers
Guerschon Yabusele,1627824,Philadelphia 76ers
Adem Bona,1641737,Philadelphia 76ers
Royce O'Neale,1626220,Phoenix Suns
Ryan Dunn,1642346,Phoenix Suns
Devin Booker,1626164,Phoenix Suns
Josh Okogie,1629006,Phoenix Suns
Bradley Beal,203078,Phoenix Suns
Oso Ighodaro,1642345,Phoenix Suns
Grayson Allen,1628960,Phoenix Suns
Damion Lee,1627814,Phoenix Suns
Bol Bol,1629626,Phoenix Suns
Collin Gillespie,1631221,Phoenix Suns
TyTy Washington Jr.,1631102,Phoenix Suns
Jalen Bridges,1641779,Phoenix Suns
Jusuf Nurkić,203994,Phoenix Suns
Tyus Jones,1626145,Phoenix Suns
Mason Plumlee,203486,Phoenix Suns
Monté Morris,1628420,Phoenix Suns
Kevin Durant,201142,Phoenix Suns
Scoot Henderson,1630703,Portland Trail Blazers
Anfernee Simons,1629014,Portland Trail Blazers
Deandre Ayton,1629028,Portland Trail Blazers
Matisse Thybulle,1629680,Portland Trail Blazers
Dalano Banton,1630625,Portland Trail Blazers
Deni Avdija,1630166,Portland Trail Blazers
Jerami Grant,203924,Portland Trail Blazers
Justin Minaya,1631303,Portland Trail Blazers
Bryce McGowens,1631121,Portland Trail Blazers
Shaedon Sharpe,1631101,Portland Trail Blazers
Rayan Rupert,1641712,Portland Trail Blazers
Donovan Clingan,1642270,Portland Trail Blazers
Kris Murray,1631200,Portland Trail Blazers
Duop Reath,1641871,Portland Trail Blazers
Toumani Camara,1641739,Portland Trail Blazers
Jabari Walker,1631133,Portland Trail Blazers
Robert Williams III,1629057,Portland Trail Blazers
Tazé Moore,1631386,Portland Trail Blazers
Malik Monk,1628370,Sacramento Kings
Jordan McLaughlin,1629162,Sacramento Kings
