player_id,player_name,image_url
1629610,DaQuan Jeffries,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629610.png
1630208,Nick Richards,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630208.png
1631109,Mark Williams,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1631109.png
1641733,Nick Smith Jr.,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1641733.png
1630182,Josh Green,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630182.png
1628998,Cody Martin,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628998.png
1631217,Moussa Diabaté,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1631217.png
1631209,Isaiah Wong,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1631209.png
203995,Vasilije Micić,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203995.png
1630544,Tre Mann,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630544.png
1641706,Brandon Miller,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1641706.png
1642354,KJ Simpson,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1642354.png
203552,Seth Curry,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203552.png
1642275,Tidjane Salaün,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1642275.png
201959,Taj Gibson,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201959.png
1629632,Coby White,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629632.png
1628366,Lonzo Ball,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628366.png
1630581,Josh Giddey,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630581.png
